iter	Logloss
0	0.6825234254
1	0.6734452026
2	0.6638007298
3	0.6582346634
4	0.6524894358
5	0.6485052513
6	0.645113701
7	0.6417645724
8	0.6387358363
9	0.6353703672
10	0.6332467735
11	0.6315820049
12	0.6297501673
13	0.6266222618
14	0.6251824919
15	0.625125803
16	0.6241318042
17	0.6239719489
18	0.6230032118
19	0.6214771289
20	0.6202132815
21	0.6189573746
22	0.6181471266
23	0.6173899741
24	0.6172247135
25	0.6172057137
26	0.61624383
27	0.6157828051
28	0.61527984
29	0.6152572985
30	0.6149647694
31	0.6146327582
32	0.6146315551
33	0.6140426599
34	0.6137420873
35	0.6134731974
36	0.6130831489
37	0.6128672025
38	0.6125801779
39	0.6125227692
40	0.6123734017
41	0.6116379397
42	0.6112479357
43	0.6112480467
44	0.6107274579
45	0.6103288842
46	0.610278699
47	0.6099821488
48	0.6096911516
49	0.6096565116
50	0.609478434
51	0.6094331392
52	0.6093709838
53	0.609097824
54	0.609096436
55	0.6090883667
56	0.609085697
57	0.6089917481
58	0.6086824568
59	0.6084906748
60	0.6084371656
61	0.6082443667
62	0.6081763764
63	0.6079819453
64	0.6079167094
65	0.6079174784
66	0.6078429085
67	0.6075935719
68	0.6073498765
69	0.6072185688
70	0.6064214476
71	0.6063339306
72	0.606254898
73	0.6062357928
74	0.6061448837
75	0.6060267981
76	0.6059033463
77	0.6058211558
78	0.6057361381
79	0.6052388834
80	0.6046623337
81	0.6045542965
82	0.6044331259
83	0.6043650827
84	0.6042653055
85	0.6039386761
86	0.603428863
87	0.6033391014
88	0.603311277
89	0.6032641371
90	0.602927138
91	0.6028282735
92	0.6026032421
93	0.6024915419
94	0.6022521435
95	0.6020130538
96	0.6018743292
97	0.6017916301
98	0.6017856839
99	0.601730454
100	0.6016647347
101	0.6015900969
102	0.6015320297
103	0.6015166062
104	0.6014662655
105	0.6014400811
106	0.6013364507
107	0.6012020742
108	0.6011222379
109	0.6010853377
110	0.6010294926
111	0.6009981494
112	0.6009799349
113	0.6009258445
114	0.6006995216
115	0.6005883043
116	0.600535252
117	0.6004621862
118	0.6003953747
119	0.600223153
120	0.6001701778
121	0.6001355189
122	0.6000862046
123	0.600039813
124	0.6000233162
125	0.5999344794
126	0.5998961426
127	0.5998329022
128	0.5998162859
129	0.5997816593
130	0.5996568605
131	0.5996383801
132	0.5995754498
133	0.599567864
134	0.5995350906
135	0.5995207673
136	0.599505661
137	0.5994936408
138	0.5994282499
139	0.5993954324
140	0.5993732001
141	0.5993627217
142	0.5992659049
143	0.5992583487
144	0.5992405831
145	0.5991933457
146	0.5991648513
147	0.5991326257
148	0.5991081883
149	0.599100833
150	0.599052566
151	0.5990302956
152	0.5989807597
153	0.5989385332
154	0.5989199338
155	0.598892457
156	0.5988733376
157	0.5988348941
158	0.5987689701
159	0.5987145777
160	0.5986920616
161	0.5986838395
162	0.5986686766
163	0.5986357083
164	0.5986053482
165	0.5985847825
166	0.5985796618
167	0.59853385
168	0.5985138038
169	0.5984889231
170	0.5984508848
171	0.5984204368
172	0.5984027011
173	0.5983925098
174	0.5983791048
175	0.598369787
176	0.5983596765
177	0.5983514627
178	0.5983454459
179	0.5982985859
180	0.5982875011
181	0.5982841182
182	0.5982642794
183	0.5982416146
184	0.598217906
185	0.5982122276
186	0.598174659
187	0.5981433343
188	0.598133811
189	0.598103453
190	0.5980891423
191	0.5980849188
192	0.5980745662
193	0.5980716338
194	0.5980567945
195	0.5980386434
196	0.5980295398
197	0.5980177407
198	0.5979865974
199	0.597965069
200	0.5979582777
201	0.5979502561
202	0.5979449173
203	0.5979292229
204	0.5979006621
205	0.5978948477
206	0.5978770645
207	0.5978531287
208	0.5978451635
209	0.5978317627
210	0.5978185254
211	0.5978026824
212	0.5977885719
213	0.5977746908
214	0.5977689188
215	0.5977651057
216	0.5977636275
217	0.5977592937
218	0.5977526028
219	0.597741868
220	0.5977319056
221	0.5977290506
222	0.5977292183
223	0.5977185034
224	0.5977000979
225	0.5976903439
226	0.5976799843
227	0.5976746062
228	0.5976679777
229	0.59765174
230	0.5976393588
231	0.597626394
232	0.5976091318
233	0.5976057552
234	0.5975900391
235	0.597582431
236	0.5975713834
237	0.5975601275
238	0.5975547918
239	0.5975496141
240	0.5975411298
241	0.5975371465
242	0.5975222199
243	0.5975169039
244	0.5975130883
245	0.5975040001
246	0.5974934924
247	0.5974752942
248	0.5974649323
249	0.5974534887
250	0.5974448807
251	0.5974418996
252	0.5974353223
253	0.5974343453
254	0.5974258432
255	0.5974162346
256	0.5974028745
257	0.5973967054
258	0.5973907793
259	0.5973896539
260	0.5973881945
261	0.5973861105
262	0.5973756865
263	0.597369645
264	0.5973663097
265	0.5973617854
266	0.5973544893
267	0.597347694
268	0.5973411063
269	0.5973351865
270	0.5973317462
271	0.5973201962
272	0.5973113361
273	0.5973057106
274	0.5973006683
275	0.5973008578
276	0.597292709
277	0.5972871866
278	0.5972842692
279	0.5972744715
280	0.5972685084
281	0.597264329
282	0.5972632454
283	0.5972600979
284	0.5972600979
285	0.5972574217
286	0.5972531045
287	0.5972450992
288	0.5972358216
289	0.5972350495
290	0.5972200401
291	0.5972182068
292	0.5972159548
293	0.5972154548
294	0.5972112017
295	0.597208345
296	0.5972039469
297	0.5971965265
298	0.5971943163
299	0.5971945457
